tileid,class,quantile
130467,4,0.979
130468,4,1.0
130471,2,0.103
130472,1,0.0
130473,4,1.0
130504,1,0.006
130824,4,1.0
130994,1,0.009
130996,2,0.165
130999,2,0.245
131000,1,0.08
131170,1,0.071
131173,4,1.0
131174,1,0.023
131178,4,1.0
131179,4,1.0
131180,2,0.314
131181,4,0.999
131182,4,1.0
131183,1,0.012
131534,2,0.118
131535,2,0.384
131537,2,0.33
131703,1,0.023
131704,1,0.003
131721,1,0.092
131722,1,0.008
131877,2,0.439
131880,4,0.999
131881,4,1.0
131886,4,0.997
131887,4,1.0
131891,2,0.302
131912,1,0.051
131920,1,0.084
132241,2,0.239
132244,1,0.042
132288,2,0.471
132379,1,0.026
132389,1,0.016
132405,1,0.026
132406,1,0.013
132407,2,0.231
132408,4,1.0
132409,1,0.099
132411,1,0.017
132412,2,0.153
132456,1,0.002
132586,4,1.0
132588,4,1.0
132594,4,0.92
132595,1,0.013
132599,2,0.105
132621,1,0.005
132622,1,0.052
133087,4,1.0
133092,1,0.004
133093,1,0.014
133094,4,1.0
133095,1,0.007
133096,1,0.047
133097,4,1.0
133098,2,0.184
133099,4,1.0
133112,1,0.031
133113,1,0.023
133114,2,0.111
133115,4,0.946
133116,4,0.962
133117,1,0.057
133120,2,0.427
133121,3,0.657
133291,4,0.997
133292,4,1.0
133293,4,0.997
133294,4,0.991
133295,4,0.968
133301,1,0.029
133302,4,0.993
133306,4,1.0
133307,1,0.013
133331,4,1.0
133332,4,1.0
133333,3,0.671
133337,4,0.996
133662,3,0.51
133698,1,0.087
133795,2,0.456
133796,4,1.0
133797,3,0.75
133798,1,0.096
133800,3,0.524
133804,1,0.029
133805,4,1.0
133806,2,0.137
133807,2,0.452
133808,1,0.003
133809,2,0.107
133810,1,0.095
133820,1,0.014
133821,1,0.019
133822,1,0.019
133823,3,0.846
133824,2,0.205
133825,3,0.626
133828,1,0.086
133829,3,0.756
133830,3,0.899
133969,1,0.013
133970,1,0.001
133999,1,0.007
134009,2,0.152
134010,4,1.0
134012,4,1.0
134013,4,0.979
134014,2,0.43
134040,2,0.43
134041,1,0.008
134044,4,1.0
134045,2,0.125
134365,1,0.066
134366,4,1.0
134495,1,0.003
134504,3,0.791
134505,1,0.027
134506,4,1.0
134509,1,0.013
134511,3,0.778
134512,4,1.0
134513,1,0.065
134514,4,1.0
134515,1,0.075
134516,1,0.093
134517,2,0.297
134518,4,1.0
134519,1,0.019
134520,4,1.0
134521,1,0.061
134522,1,0.02
134523,1,0.001
134524,1,0.012
134526,1,0.032
134528,1,0.003
134529,1,0.075
134530,1,0.002
134531,4,0.923
134532,4,1.0
134533,4,1.0
134534,3,0.775
134677,4,1.0
134678,4,1.0
134679,4,0.972
134716,1,0.005
134717,4,0.913
134718,4,1.0
134719,4,1.0
134720,4,1.0
134721,2,0.166
134749,2,0.428
134766,3,0.71
134767,1,0.074
135108,1,0.044
135209,3,0.736
135210,3,0.746
135212,1,0.097
135213,2,0.115
135214,2,0.123
135216,2,0.257
135217,1,0.013
135219,4,1.0
135220,4,1.0
135221,1,0.032
135222,2,0.101
135223,1,0.063
135225,1,0.099
135226,4,1.0
135227,4,1.0
135228,4,1.0
135229,4,1.0
135230,4,0.988
135231,1,0.008
135232,1,0.067
135233,4,1.0
135234,2,0.136
135236,1,0.068
135237,1,0.072
135239,4,1.0
135240,4,1.0
135241,4,1.0
135242,4,1.0
135243,4,1.0
135247,4,1.0
135384,1,0.0
135385,4,1.0
135386,4,1.0
135387,4,0.909
135424,4,1.0
135425,4,0.996
135426,4,1.0
135427,4,1.0
135428,4,1.0
135469,2,0.149
135474,4,0.996
135475,4,1.0
135785,1,0.099
135786,2,0.171
135915,3,0.765
135916,4,1.0
135917,3,0.806
135918,3,0.786
135926,3,0.778
135927,1,0.034
135928,1,0.017
135929,3,0.795
135930,3,0.753
135933,3,0.798
135936,2,0.376
135937,1,0.091
135938,2,0.117
135939,1,0.083
135940,1,0.006
135941,2,0.453
135942,2,0.251
135943,1,0.023
135944,1,0.042
135945,1,0.014
135946,2,0.114
135947,4,1.0
135948,4,1.0
135949,2,0.408
135950,4,0.997
135951,4,1.0
