tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
194553,2,0.435,2,0.381,2,0.43,2,0.461
194687,2,0.24100000000000002,2,0.12,2,0.499,3,0.6970000000000001
194688,4,0.973,1,0.059000000000000004,4,0.94,4,1.0
194689,4,0.991,2,0.121,4,0.934,4,1.0
194690,4,0.991,2,0.10300000000000001,4,1.0,4,1.0
194691,3,0.8370000000000001,1,0.076,2,0.153,3,0.7170000000000001
194692,1,0.084,1,0.078,2,0.122,3,0.537
194693,3,0.597,1,0.045,2,0.327,3,0.893
194694,4,1.0,2,0.115,4,1.0,4,1.0
194695,4,1.0,2,0.142,4,1.0,4,1.0
194696,4,1.0,1,0.098,4,0.998,4,1.0
194697,4,1.0,3,0.69,4,1.0,4,1.0
194698,4,1.0,3,0.665,4,1.0,4,1.0
194699,2,0.111,1,0.02,2,0.134,2,0.325
194700,1,0.031,1,0.006,1,0.01,1,0.046
194701,1,0.0,1,0.0,1,0.0,1,0.0
194702,1,0.006999999999999999,1,0.002,1,0.006,1,0.003
194703,1,0.073,1,0.021,2,0.213,3,0.623
194704,2,0.133,1,0.028999999999999998,2,0.142,2,0.248
194705,2,0.325,1,0.022000000000000002,1,0.099,2,0.11800000000000001
194706,2,0.218,1,0.031,1,0.08900000000000001,2,0.152
194707,2,0.342,1,0.012,1,0.098,2,0.282
194708,2,0.317,1,0.012,1,0.091,2,0.212
194709,1,0.076,1,0.009000000000000001,1,0.012,1,0.031
194710,2,0.303,1,0.017,2,0.251,3,0.523
194711,1,0.098,1,0.015,1,0.027000000000000003,2,0.10800000000000001
194712,1,0.055999999999999994,1,0.0,1,0.0,1,0.012
194713,1,0.027999999999999997,1,0.008,1,0.006999999999999999,1,0.02
194714,1,0.057,1,0.011000000000000001,1,0.008,1,0.015
194715,1,0.017,1,0.001,1,0.001,1,0.006
194716,1,0.013999999999999999,1,0.005,1,0.006999999999999999,1,0.05
194717,1,0.006,1,0.024,1,0.005,1,0.03
194718,1,0.087,1,0.025,1,0.016,1,0.09
194719,1,0.009000000000000001,1,0.008,1,0.011000000000000001,1,0.040999999999999995
194720,1,0.08199999999999999,1,0.019,1,0.065,2,0.195
194721,1,0.008,1,0.018000000000000002,1,0.015,1,0.083
194722,1,0.09300000000000001,1,0.031,2,0.242,3,0.818
194723,2,0.276,1,0.044000000000000004,3,0.8640000000000001,4,0.9990000000000001
194724,3,0.889,1,0.062,4,0.937,4,1.0
194725,2,0.28800000000000003,1,0.06,2,0.41200000000000003,3,0.605
194726,2,0.426,1,0.059000000000000004,3,0.75,4,0.997
194727,2,0.335,1,0.022000000000000002,1,0.077,3,0.57
194728,2,0.217,1,0.017,1,0.08900000000000001,2,0.231
