tileid,class,quantile
139627,3,0.507
139628,2,0.397
139629,1,0.057
139632,1,0.05
139633,1,0.085
139670,4,1.0
139682,4,1.0
139683,4,1.0
139684,3,0.824
139685,3,0.595
139686,4,0.978
139720,2,0.36
140012,4,0.929
140029,1,0.015
140030,2,0.212
140034,1,0.041
140038,1,0.075
140042,1,0.06
140043,2,0.112
140044,1,0.098
140045,1,0.018
140046,1,0.044
140047,1,0.059
140048,2,0.341
140051,1,0.063
140052,2,0.138
140155,2,0.357
140195,1,0.038
140198,2,0.236
140200,2,0.121
140203,3,0.57
140207,2,0.174
140333,2,0.126
140336,2,0.109
140337,2,0.109
140338,1,0.066
140339,1,0.094
140379,4,1.0
140390,3,0.573
140391,1,0.037
140392,1,0.09
140393,4,1.0
140394,2,0.252
140395,1,0.037
140428,1,0.055
140739,1,0.027
140745,1,0.071
140761,1,0.031
140903,1,0.037
140917,2,0.104
141040,2,0.207
141041,2,0.268
141042,1,0.072
141043,2,0.297
141044,2,0.289
141045,1,0.051
141046,1,0.043
141047,1,0.026
141048,2,0.135
141087,4,1.0
141098,3,0.703
141099,1,0.018
141100,2,0.325
141101,3,0.788
141102,1,0.029
141103,1,0.066
141104,2,0.167
141105,1,0.09
141133,2,0.364
141134,2,0.154
141138,2,0.163
141448,1,0.037
141457,2,0.302
141469,1,0.039
141572,3,0.853
141585,3,0.546
141588,2,0.167
141612,2,0.124
141613,2,0.186
141748,2,0.282
141750,2,0.154
141751,2,0.303
141752,1,0.084
141753,2,0.152
141754,1,0.093
141755,4,0.954
141756,1,0.045
141805,4,1.0
141806,3,0.682
141807,2,0.136
141808,3,0.809
141809,2,0.128
141810,1,0.056
141811,2,0.125
141812,1,0.042
141814,4,0.983
141842,4,1.0
141846,3,0.579
142132,2,0.297
142164,2,0.115
142273,2,0.329
142319,2,0.181
142320,2,0.345
142321,2,0.183
142322,1,0.084
142323,1,0.067
142331,1,0.044
142373,2,0.194
142391,1,0.022
142455,2,0.37
142456,4,1.0
142458,2,0.305
142460,4,1.0
142461,1,0.089
142462,1,0.053
142463,3,0.582
142464,1,0.097
142490,2,0.105
142504,4,1.0
142514,2,0.292
142515,1,0.059
142516,2,0.105
142517,2,0.408
142518,4,0.999
142519,2,0.276
142520,2,0.187
142521,2,0.147
142522,2,0.382
142523,2,0.275
142840,1,0.094
143008,4,1.0
143009,2,0.112
143010,2,0.489
143021,2,0.209
143026,3,0.522
143029,2,0.348
143030,2,0.282
143042,2,0.452
143043,1,0.085
143163,2,0.154
143164,4,0.997
143165,3,0.535
143166,2,0.173
143167,2,0.171
143169,4,1.0
143170,4,1.0
143171,2,0.202
143172,2,0.124
143212,4,1.0
143217,4,1.0
143222,3,0.635
143223,2,0.133
143224,2,0.272
143228,1,0.049
143231,2,0.139
143688,4,0.934
143704,1,0.099
143705,2,0.175
143736,2,0.311
143810,1,0.058
143870,2,0.251
143871,4,1.0
143872,4,1.0
143873,4,1.0
143874,2,0.29
143875,2,0.358
143876,1,0.086
143877,4,1.0
143878,3,0.714
